label,subject,body
phishing,"URGENT: Your account has been suspended","Dear Customer, your bank account access has been suspended due to suspicious activity. Please verify your credentials immediately by clicking here: http://secure-bank-login.com/verify to prevent permanent closure. Failure to respond within 24 hours will result in permanent account termination."
phishing,"Action Required: Update your payroll direct deposit","Employee Alert: All staff must update their direct deposit banking details immediately due to our HR software migration. Click here to confirm your banking password and routing number immediately: http://hr-portal-direct-deposit.xyz/login. Failure to update will delay your monthly paycheck."
phishing,"Wire Transfer Request - Urgent Confidential","Please process an urgent wire transfer of $48,500 to the attached vendor account today before 3 PM EST. This acquisition payment is highly confidential and urgent. Do not discuss this via phone or with other colleagues, reply with the wire confirmation number immediately."
phishing,"Final Notice: IRS Tax Refund Notification","Internal Revenue Service Notice: You are eligible for an unclaimed federal tax refund of $1,420.50. To claim your tax refund immediately, submit your Social Security Number, date of birth, and online banking credentials at http://irs-refund-claim-portal.com/claim."
phishing,"Security Alert: Unauthorized login attempt detected","We detected an unauthorized sign-in attempt to your Microsoft Office 365 account from an unknown IP address in Moscow, Russia. If this was not you, reset your password and verify your account credentials immediately at http://office365-security-reset.tk/auth."
phishing,"Your DHL package delivery is on hold","Your shipment #DHL-994821 is pending delivery due to unpaid customs clearance fees ($4.95). Please confirm your shipping address and pay the fee immediately at http://dhl-express-tracking-fee.top/pay to avoid return to sender within 24 hours."
phishing,"Google Workspace: Storage limit exceeded","Your corporate Google Workspace storage quota has reached 99.8%. Incoming emails will be blocked starting today unless you validate your account and upgrade quota immediately: http://google-drive-quota-verify.info/login."
phishing,"Invoice INV-2024-9182 Overdue Payment Required","Attached is overdue invoice INV-2024-9182 for immediate settlement. Please remit outstanding balance immediately to avoid legal collections and penalties. Log in to review transaction details: http://invoice-payment-gate.cc/auth."
phishing,"Congratulations! You have won $2,500,000 in International Lottery","You have been selected as the grand winner of the 2024 International Global Sweepstakes. To claim your prize money of two million five hundred thousand dollars, reply with your full passport copy, bank account number, and wire processing fee of $250 immediately."
phishing,"IT Helpdesk: Mandatory security certificate update","Attention all employees: Our IT department is deploying a mandatory security certificate update. All users must log in immediately at http://company-it-helpdesk-cert.net/login using their domain username and password to prevent account deactivation."
phishing,"Urgent: Review pending DocuSign document","A confidential contract has been sent to you for electronic signature via DocuSign. Please click here to review and sign document immediately: http://docusign-secure-document-sign.me/view. Access expires in 12 hours."
phishing,"PayPal: Suspicious transaction of $849.00 on your account","You sent a payment of $849.00 to CryptoExchange Inc. If you did not authorize this payment, cancel the transaction immediately by logging into your PayPal account at http://paypal-dispute-resolution-center.biz/cancel."
phishing,"Netflix: Your subscription has been placed on hold","We were unable to process your monthly subscription payment. Update your credit card details immediately at http://netflix-billing-update.club/account to continue watching movies without service disruption."
phishing,"HR Notice: Mandatory Workplace Policy Agreement","Please sign the updated corporate code of conduct policy immediately. Failure to sign within 48 hours will result in disciplinary action. Authenticate with your enterprise credentials: http://workplace-hr-compliance.co/verify."
phishing,"FedEx: Address confirmation required for parcel","We could not deliver your parcel because the destination address was incomplete. Update your residential address and contact number immediately at http://fedex-parcel-redelivery.org/update to schedule redelivery tomorrow."
phishing,"Amazon: Unusual sign-in activity on your Amazon account","An unrecognized device accessed your Amazon account. We have temporarily restricted your orders. Confirm your identity and payment card immediately at http://amazon-account-protection.link/review to restore full account functionality."
phishing,"Cryptocurrency Wallet: Urgent KYC verification required","In accordance with financial compliance regulations, your crypto wallet requires immediate identity verification. Complete your KYC identity submission at http://metamask-kyc-validation.ws/auth before your funds are frozen."
phishing,"Urgent Request from CEO - Gift Cards Purchase","Are you available at your desk right now? I am in an executive conference and need you to purchase 10 Apple iTunes gift cards ($100 each) for client gifts urgently. Send the scratch-off claim codes to me directly via this email as soon as possible."
phishing,"Dropbox: Someone shared a confidential folder with you","A secure project document 'Q3_Financial_Projections.xlsx' was shared with you on Dropbox. Click here to authenticate your corporate account and view the file: http://dropbox-shared-file-access.info/file."
phishing,"Wells Fargo: Important notice regarding your checking account","We detected unusual debit card transactions on your Wells Fargo account. Protect your account immediately by verifying your PIN and online banking password at http://wellsfargo-security-alert.cc/protect."
phishing,"Apple ID: Your account has been locked for security reasons","Your Apple ID was used to purchase an iPhone on the Apple Online Store. If this was not authorized, unlock your Apple ID and verify your billing credentials immediately at http://appleid-support-unlock.net/login."
phishing,"Bank of America: Security upgrade required for mobile banking","Bank of America is upgrading online banking security protocols. Verify your debit card number, expiration date, and CVV code at http://bankofamerica-customer-upgrade.site/login immediately to ensure uninterrupted banking access."
phishing,"Zoom: Important meeting invitation from Human Resources","HR has scheduled an urgent private meeting regarding your employment status. Join the video conference immediately using this secure link: http://zoom-conference-hr-meeting.tech/join."
phishing,"LinkedIn: You have 3 urgent unread messages from recruiters","Senior partners have sent you confidential executive opportunities. Sign in to view and respond to these messages immediately: http://linkedin-career-inbox.online/messages."
legitimate,"Team meeting notes and action items from weekly sprint","Hi everyone, thanks for joining today's sprint planning session. We agreed to prioritize the database migration and API rate limiting tasks for this cycle. The pull requests are up for review on GitHub, and John will be leading the QA testing on staging tomorrow. Let me know if anyone has questions."
legitimate,"Your receipt from Coffee House Roasters - Order #4812","Thank you for your order at Coffee House Roasters. Your transaction of $14.50 was processed successfully using Apple Pay on September 4, 2026. A breakdown of your items is detailed below. We look forward to serving you again soon!"
legitimate,"Monthly Engineering Newsletter - September 2026","Welcome to this month's engineering newsletter! In this edition, we cover our transition to microservices, lessons learned from our recent load testing benchmark, and upcoming tech talk presentations. Read the engineering blog for detailed architectural deep-dives."
legitimate,"Invitation: Architecture Review: Data Pipeline @ Thu Sep 10, 2026 2pm - 3pm","You have been invited to the Architecture Review meeting for the new telemetry ingestion pipeline. Agenda: review system throughput requirements, SQLite schema changes, and background worker queuing architecture. Google Meet link is attached to the calendar event."
legitimate,"GitHub: Pull request #142 approved and merged","Your pull request #142 'Refactor logging module and error handling' has been reviewed, approved, and successfully merged into main by the engineering team. Continuous integration tests completed with zero errors."
legitimate,"Weekly project status report - Q3 Milestones","Hello team, here is the weekly progress report on our Q3 deliverables. Core API endpoints are 85% complete, frontend UI integration is progressing according to schedule, and performance benchmarks meet our latency targets. Have a great weekend!"
legitimate,"Dentist appointment confirmation for Tuesday at 10:00 AM","This is a friendly reminder of your upcoming dental checkup with Dr. Smith on Tuesday, September 8, 2026 at 10:00 AM. If you need to reschedule or cancel your appointment, please contact our clinic office at least 24 hours in advance."
legitimate,"Order Confirmation: Books and Electronics from Bookstore Online","Thank you for shopping with Bookstore Online! We have received your order #BK-90214. Your package is being prepared for shipping and will be dispatched within 2 business days. You can track order progress in your account dashboard."
legitimate,"Summary of discussion: Backend caching strategy","Hi team, following up on our discussion regarding Redis caching: we agreed to set TTL to 3600 seconds on case status queries to reduce database load. Please check the RFC draft in our shared documentation repository."
legitimate,"Your monthly utility bill is now available for viewing","Your monthly electricity statement for August 2026 is ready. Total amount due is $78.40, due on September 22, 2026. Auto-pay is active and will process automatically on the due date. No action is required on your part."
legitimate,"Flight itinerary and e-ticket confirmation - Chicago to Seattle","Thank you for booking with Skyways Airlines. Your flight reservation #SK-4912 is confirmed. Flight departs O'Hare International at 8:45 AM on October 12, 2026. Online check-in opens 24 hours prior to scheduled departure."
legitimate,"Conference registration confirmation: Python Developer Summit 2026","We are excited to confirm your registration for the annual Python Developer Summit in Austin, Texas. Your attendee badge and schedule details are attached. Workshop registrations will open next Monday."
legitimate,"Documentation update: API guidelines and error formats","Hi engineers, we updated our internal API design guide to standardize error responses across all microservices. Please review the updated documentation before submitting new pull requests this week."
legitimate,"Hotel reservation confirmation - 2 nights at Grand Central Hotel","Your booking at Grand Central Hotel is confirmed for check-in on Friday, October 2, 2026 and check-out on Sunday, October 4, 2026. Complimentary breakfast and Wi-Fi are included. We wish you a pleasant stay!"
legitimate,"Release Notes: Platform Version 3.4.0 is now live in production","We are pleased to announce the release of Platform v3.4.0. Highlights include improved search indexing speeds, enhanced dashboard filters, and bug fixes for timestamp serialization. Full changelog is available in the release notes."
legitimate,"Lunch order receipt from Fresh Salad Co.","Thank you for ordering lunch from Fresh Salad Co. Total paid: $16.25. Your pickup order is ready at the front counter. Thank you for your continued patronage!"
legitimate,"Invitation: Quarterly Planning Retrospective @ Fri Sep 18, 2026 3pm","Please join our quarterly planning retrospective to review accomplishments, identify bottlenecks, and plan improvements for the upcoming quarter. Please add your discussion topics to the collaborative document prior to the meeting."
legitimate,"Gym membership renewal confirmation","Your annual fitness membership has been renewed for another year through September 2027. Your locker assignment and club access privileges remain active without interruption. Thank you for being a valued member!"
legitimate,"Customer support ticket #82041 resolved","Hello, our technical support team has resolved ticket #82041 regarding report export formatting. If you encounter any further issues or have additional questions, feel free to reply directly to this email."
legitimate,"Annual benefits open enrollment reminder","Dear team members, the annual open enrollment period for health, dental, and retirement benefits runs through October 15. Please review the benefit guide on the employee portal and make any desired adjustments before the deadline."
legitimate,"Car service scheduled maintenance completed","Your scheduled 30,000-mile vehicle maintenance inspection is complete. All fluid levels have been checked, tires rotated, and oil replaced. Your vehicle is ready for pickup at our service center at your convenience."
legitimate,"Happy Birthday from the Community Team!","Wishing you a very happy birthday from all of us at the community team! As a small token of our appreciation, enjoy a 15% discount code on your next purchase in our store."
legitimate,"Podcast Episode 42: Building Scalable Distributed Systems","Our latest podcast episode is live! This week we sit down with veteran systems engineers to discuss fault tolerance, message queues, and consensus algorithms in large-scale distributed architectures."
legitimate,"Your library books are due in 3 days","This is an automated notice from the Public Library. You have 2 items due for return on September 8, 2026: 'Designing Data-Intensive Applications' and 'Clean Architecture'. You may renew them online if no holds exist."
